helidon-mp, Memory Usage (Load), 1.1
helidon-mp, Load Time, 23.44
helidon-mp, Memory Usage (Load), 1.17
helidon-mp, Load Time, 23.49
spring, Compile time, 7.97
spring, Compile time, 7.75
spring, Compile time, 7.76
spring, Compile time, 7.81
spring, Compile time, 7.75
spring, Compile time, 7.75
spring, Compile time, 7.58
spring, Compile time, 7.60
spring, Compile time, 7.83
spring, Compile time, 7.82
spring, Compile time, 7.70
spring, Compile time, 7.77
spring, Compile time, 7.90
spring, Compile time, 7.68
spring, Compile time, 7.84
spring, Compile time, 7.72
spring, Compile time, 7.73
spring, Compile time, 7.52
spring, Compile time, 7.73
spring, Compile time, 7.74
spring, Compile time, 7.76
spring, Compile time, 7.81
spring, Compile time, 7.92
spring, Compile time, 7.71
spring, Compile time, 7.72
spring, Compile time, 7.80
spring, Compile time, 7.76
spring, Compile time, 7.73
spring, Compile time, 7.82
spring, Compile time, 7.67
spring, Startup time, 8.14
spring, Memory Usage (Startup), 440
spring, Startup time, 8.44
spring, Memory Usage (Startup), 435.6
spring, Startup time, 8.19
spring, Memory Usage (Startup), 398.1
spring, Startup time, 7.85
spring, Memory Usage (Startup), 441.3
spring, Startup time, 8.14
spring, Memory Usage (Startup), 444
spring, Startup time, 8.17
spring, Memory Usage (Startup), 409.6
spring, Startup time, 8.13
spring, Memory Usage (Startup), 412.7
spring, Startup time, 7.88
spring, Memory Usage (Startup), 406.9
spring, Startup time, 8.09
spring, Memory Usage (Startup), 423.6
spring, Startup time, 8.14
spring, Memory Usage (Startup), 451.4
spring, Startup time, 8.20
spring, Memory Usage (Startup), 438.7
spring, Startup time, 8.16
spring, Memory Usage (Startup), 430.3
spring, Startup time, 8.13
spring, Memory Usage (Startup), 401.8
spring, Startup time, 8.51
spring, Memory Usage (Startup), 408.3
spring, Startup time, 8.18
spring, Memory Usage (Startup), 417
spring, Startup time, 8.08
spring, Memory Usage (Startup), 408.9
spring, Startup time, 7.86
spring, Memory Usage (Startup), 403.4
spring, Startup time, 8.14
spring, Memory Usage (Startup), 411.7
spring, Startup time, 8.16
spring, Memory Usage (Startup), 425.2
spring, Startup time, 8.23
spring, Memory Usage (Startup), 419.7
spring, Startup time, 8.20
spring, Memory Usage (Startup), 409.9
spring, Startup time, 8.08
spring, Memory Usage (Startup), 413.7
spring, Startup time, 8.40
spring, Memory Usage (Startup), 406.2
spring, Startup time, 8.23
spring, Memory Usage (Startup), 436.7
spring, Startup time, 8.18
spring, Memory Usage (Startup), 412.8
spring, Startup time, 8.18
spring, Memory Usage (Startup), 415.2
spring, Startup time, 8.05
spring, Memory Usage (Startup), 415.4
spring, Startup time, 8.18
spring, Memory Usage (Startup), 436.5
spring, Startup time, 8.09
spring, Memory Usage (Startup), 421.3
spring, Startup time, 8.50
spring, Memory Usage (Startup), 429.1
spring, Memory Usage (Load), 532.9
spring, Load Time, 18.02
spring, Memory Usage (Load), 570.1
spring, Load Time, 18.27
spring, Memory Usage (Load), 647.9
spring, Load Time, 18.46
spring, Memory Usage (Load), 605.6
spring, Load Time, 20.29
spring, Memory Usage (Load), 583
